区域,名称,景点id,类型,级别,热度,地址,特色,经纬度,月销量
湖南·张家界·武陵源区,张家界国家森林公园,852581432,自然风光,5A景区,热度 0.9400000000000001,湖南省张家界市武陵源区,,"110.459244,29.336908",6973
江西·萍乡·芦溪县,武功山,943865565,山川,5A景区,热度 1.0,江西省萍乡市芦溪县,,"114.162743,27.471336",17625
四川·乐山·峨眉山市,峨眉山,69638736,山川,5A景区,热度 1.0,四川省乐山峨眉山市峨眉山风景名胜区,,"103.342036,29.522835",10577
安徽·芜湖·南陵县,马仁奇峰,3821817759,山川,4A景区,热度 0.76,安徽省芜湖市繁昌铜陵南陵三县交界处,,"118.174791,30.978893",10446
广东·清远·清城区,黄腾峡天门悬廊,106063323,山川,,热度 0.0,广东省清远市清城区东城街石板村,,"113.10067,23.768007",9143
陕西·渭南·华阴市,华山景区,3677297610,山川,5A景区,热度 1.0,陕西省渭南市华阴市境内,,"110.088712,34.532247",8757
四川·成都·都江堰市,青城山,2833668773,山川,5A景区,热度 0.96,四川省成都市都江堰市青城山路,,"103.578829,30.903727",8178
安徽·黄山·黄山区,黄山风景区,3346106506,山川,5A景区,热度 1.0,安徽省黄山市黄山区黄山风景区,,"118.193977,30.097967",7564
江西·宜春·袁州区,明月山,736564328,山川,5A景区,热度 1.0,江西省宜春市袁州区温汤镇,,"114.299102,27.60543",7142
湖南·张家界·永定区,天门山国家森林公园,3438058182,山川,5A景区,热度 0.82,湖南省张家界市永定区天门山索道站,,"110.482089,29.072408",6928
贵州·黔南·荔波樟江,小七孔景区,2617591521,山川,,热度 0.7,贵州省黔南州荔波县,,"107.723691,25.262515",6362
四川·广元·剑阁县,剑门关,3560776735,山川,5A景区,热度 1.0,四川省广元市剑阁县河东街64号,,"105.573795,32.211505",6329
江苏·苏州·金阊区,虎丘,1798026130,山川,5A景区,热度 0.8,江苏省苏州市金阊区山塘街虎丘山门内8号,,"120.587069,31.341637",6260
山东·济南·历城区,九如山风景区,4094892511,山川,4A景区,热度 0.7,山东省济南市历城区西营镇葫芦峪村,,"117.305247,36.493204",6175
江西·南昌·湾里区,梅岭景区,705638425,山川,,热度 0.0,江西省南昌市西郊30公里处,,"115.745284,28.803352",5539
湖南·岳阳·平江县,玻璃桥景区石牛寨,1915618311,山川,,热度 0.0,湖南省岳阳市平江县大坪乡,,"113.999367,28.915724",5332
河南·焦作·修武县,云台山,1841319965,山川,5A景区,热度 1.0,河南省焦作市修武县修武正北30公里方庄（靠近233省道）,,"113.433752,35.426392",4784
四川·阿坝藏族羌族自治州·理县,毕棚沟,256520090,山川,4A景区,热度 0.7,四川省阿坝州理县朴头乡朴头村88号,,"102.986326,31.406428",4721
河北·秦皇岛·山海关区,山海关角山景区,495870794,山川,4A景区,热度 0.72,河北省秦皇岛市山海关古城北3公里处,,"119.744756,40.044655",4613
河北·保定·涞源县,白石山世界地质公园,2702357307,山川,5A景区,热度 0.74,河北省保定市涞源县城南15公里处白石山景区,,"114.689055,39.236145",4270
福建·宁德·福鼎市,太姥山,679140276,山川,5A景区,热度 1.0,福建省宁德福鼎市太姥山,,"120.199549,27.107995",4228
广东·广州·增城,增城白水寨风景名胜区,1210283150,山川,4A景区,热度 0.72,广东省广州市增城市派潭镇白水寨风景名胜区,,"113.770364,23.586481",4222
贵州·铜仁·铜仁市,梵净山,3915269116,山川,5A景区,热度 1.0,中国贵州铜仁地区江口县梵净山,,"108.781453,27.849178",4221
四川·绵阳·江油市,窦团山,2145319142,山川,4A景区,热度 0.8400000000000001,四川省绵阳市江油市武都镇团山村,,"104.818274,31.914937",4212
江苏·常州·天目湖旅游度假区,天目湖南山竹海景区,2270260929,山川,5A景区,热度 0.8800000000000001,江苏省常州溧阳市横涧镇李家园下场园10号,,"119.539659,31.181493",4138
江苏·无锡·灵山胜境,灵山大佛,1359778064,山川,5A景区,热度 1.0,江苏省无锡市滨湖区灵山路1号,,"120.102895,31.436399",4080
重庆·重庆·武隆天坑地缝国家地质公园,武隆天生三桥风景区,2530709380,山川,5A景区,热度 0.72,重庆市武隆县龙桥街巷口镇芙蓉路88号,,"107.811189,29.435993",4044
河南·洛阳·栾川县,老君山景区,763063294,山川,5A景区,热度 0.72,河南省洛阳市栾川县城东,,"111.653834,33.762504",3634
广西·桂林·象山区,象山景区,2898718562,山川,5A景区,热度 0.7,广西壮族自治区桂林市民主路52号,,"110.302339,25.274549",3609
安徽·潜山市,天柱山,1988650762,山川,5A景区,热度 0.86,安徽省安庆市潜山县境内,,"116.466287,30.739246",3605
吉林·延边·长白山,长白山北景区,3621899946,山川,,热度 0.86,吉林省延边州安图县二道白河镇,,"128.184947,42.192921",3581
福建·南平·武夷山市,武夷山,4137698306,山川,5A景区,热度 1.0,福建省南平市武夷山国家旅游度假区,,"117.992764,27.631146",3532
海南·三亚·吉阳区,鹿回头风景区,4055854991,山川,4A景区,热度 0.8,海南省三亚市西南端鹿回头半岛内,,"109.490334,18.213506",3465
四川·甘孜州·稻城县,稻城亚丁,4251297113,山川,4A景区,热度 1.0,四川省甘孜藏族自治州稻城县,,"100.324691,28.540034",3339
江苏·南京·江宁区,牛首山文化旅游区,1706838119,山川,4A景区,热度 0.0,江苏省南京市江宁区宁丹大道18号,,"118.751653,31.918951",3320
江苏·苏州·张家港市,张家港市香山风景区,2580038,山川,4A景区,热度 0.0,江苏张家港市金港镇南沙境内,,"120.40645841787,31.935821169086",3225
福建·龙岩·连城县,冠豸山,1678344392,山川,4A景区,热度 0.0,福建省龙岩市连城县豸峰街44号,,"116.792504,25.717911",3156
山东·济南·历下区,千佛山,3840604594,山川,4A景区,热度 0.86,山东省济南市历下区经十一路18号,,"117.041792,36.644733",3017
广西·南宁·青秀区,青秀山旅游区,3758170695,山川,5A景区,热度 0.82,广西壮族自治区南宁市青秀区青山路19号,,"108.395117,22.79308",3012
辽宁·鞍山·千山区,鞍山千山,1777583627,山川,5A景区,热度 0.9,辽宁省鞍山市千山区千山东路79号,,"123.11642,41.005088",2933
新疆·昌吉·阜康市,天山天池,4144551106,山川,5A景区,热度 1.0,新疆维吾尔自治区昌吉回族自治州阜康市,,"88.139294,43.894016",2906
江西·九江·庐山区,庐山风景名胜区,2295597022,山川,5A景区,热度 1.0,江西省九江市庐山区,,"116.001261,29.561078",2867
江西·上饶·玉山县,三清山,2205283271,山川,5A景区,热度 0.86,江西省上饶市玉山县,,"118.075981,28.915377",2858
四川·甘孜州·泸定县,海螺沟,3058294493,山川,5A景区,热度 0.9,四川省甘孜藏族自治州泸定县木西镇共和村,,"102.090512,29.637949",2831
浙江·舟山·普陀区,普陀山,606992388,山川,5A景区,热度 1.0,浙江省舟山市普陀区,,"122.38611,29.98092",2748
安徽·池州·青阳县,九华山,489004853,山川,5A景区,热度 1.0,安徽省池州市九华山镇二一九省道,,"117.810454,30.488263",2684
广东·韶关·浈江区,韶关丹霞山,1940685610,山川,5A景区,热度 1.0,广东省韶关市浈江区丹霞山风景名胜区,,"113.745153,25.0304",2495
重庆·重庆·江津区,四面山,2451671657,山川,5A景区,热度 0.72,重庆市江津区四面山风景区,,"106.419045,28.653445",2427
湖北·宜昌·长阳县,清江画廊,3625794079,山川,5A景区,热度 0.72,湖北省宜昌市长阳县龙舟坪镇晒鼓坪村,,"111.146829,30.469896",2412
浙江·湖州·德清县,莫干山,3241002926,山川,4A景区,热度 0.82,浙江省湖州市德清县莫干山风景名胜区,,"119.875123,30.61246",2411
江苏·镇江·句容市,江苏句容茅山景区（5A）,3031687302,山川,5A景区,热度 0.8400000000000001,江苏省镇江市句容市茅山风景区,,"119.323175,31.786851",2364
广东·肇庆·星湖,鼎湖山,2446117003,山川,4A景区,热度 0.86,广东省肇庆市鼎湖区上山路坑口镇,,"112.561202,23.165899",2318
重庆·重庆·万盛区,黑山谷,581035896,山川,5A景区,热度 0.72,重庆市万盛区黑山镇境内,,"107.008268,28.894072",2304
河北·保定·易县,狼牙山,592049993,山川,4A景区,热度 0.8,河北省保定市易县狼牙山镇东西水村,,"115.18275,39.149357",2288
山东·威海·荣成市,成山头,1756657126,山川,4A景区,热度 0.8,山东省威海市荣成市西霞口村成山头风景区,,"122.703612,37.416592",2279
广西·贺州·八步区,姑婆山,3177334510,山川,4A景区,热度 0.78,广西壮族自治区贺州市八步区姑婆山大道姑婆山国家森林公园,,"111.56721,24.622001",2259
四川·凉山州·西昌市,螺髻山,2370429225,山川,4A景区,热度 0.78,四川省凉山州普格县螺髻山镇,,"102.396793,27.794591",2226
福建·莆田·城厢区,莆田九龙谷,3375490664,山川,,热度 0.74,福建省莆田市城厢区常太镇莒溪溪南村,,"118.843986,25.443098",2184
山东·青岛·崂山区,崂山,4250157286,山川,5A景区,热度 0.82,山东省青岛市崂山区内,,"120.601677,36.195942",2157
江苏·镇江·润州区,镇江金山,2378116228,山川,5A景区,热度 0.0,江苏省镇江市润州区金山路62号,,"119.422532,32.225542",2135
河南·许昌·禹州市,大鸿寨,4093867287,山川,4A景区,热度 0.76,河南省禹州市鸠山镇后地村,,"113.09725,34.243901",2097
海南·琼海,白石岭风景区,3619458774,山川,,热度 0.74,海南省琼海市加积镇白石岭风景区,,"110.398508,19.175705",2067
福建·福州·永泰县,中国福州云顶,306843155,山川,,热度 0.0,福建省福州市永泰县,,"118.972,25.742",2046
江苏·连云港·连云区,连云港花果山,4093770257,山川,5A景区,热度 1.0,江苏省连云港市新浦区郁林路5号,,"119.278096,34.648745",1998
天津·天津·蓟县,天津盘山风景名胜区,2140799835,山川,5A景区,热度 0.8,天津市蓟县官庄镇北15公里处,,"117.286958,40.100119",1948
浙江·丽水·缙云县,仙都,3994824367,山川,4A景区,热度 1.0,浙江省丽水市缙云县城东7公里处,,"120.146341,28.696655",1946
贵州·黔西南·兴义市,万峰林,1500510057,山川,4A景区,热度 0.7,贵州省黔西南州兴义市万峰林街道,,"104.929696,25.009011",1934
广东·清远·清城区,牛鱼嘴风景区,2753899195,山川,,热度 0.74,广东省清远市清城区,,"113.15311,23.774145",1908
浙江·宁波·奉化市,溪口景区,218721653,山川,5A景区,热度 0.9,浙江省宁波市奉化市溪口镇,,"121.22742,29.687265",1898
江西·赣州·大余县,丫山景区,4236677271,山川,4A景区,热度 0.0,江西省赣州市大余县黄龙镇,,"114.41356,25.469317",1896
辽宁·本溪·本溪县,老边沟风景区,1541208465,山川,,热度 0.0,辽宁省本溪市本溪满族自治县东营坊乡南营坊村,,"124.522279,41.103806",1872
重庆·重庆·武隆天坑地缝国家地质公园,武隆仙女山国家森林公园,4149096825,山川,5A景区,热度 0.82,重庆市武隆县境乌江北岸双河乡,,"107.755105,29.500941",1834
安徽·滁州·滁州市,琅琊山,3819310029,山川,4A景区,热度 1.0,安徽省滁州市南谯区览山路111号,,"118.288777,32.283117",1824
海南·文昌,海南铜鼓岭景区,2421839061,山川,,热度 0.78,海南省文昌市龙楼镇,,"111.029004,19.675653",1772
新疆·吐鲁番·吐鲁番市,火焰山景区,2264234936,山川,4A景区,热度 0.8400000000000001,新疆省吐鲁番地区吐鲁番市高昌路51号,,"89.536075,42.951144",1710
山东·济宁·曲阜,曲阜尼山圣境景区,908060858,山川,4A景区,热度 0.72,济宁市曲阜尼山镇圣像路9号,,"117.219223,35.518329",1708
安徽·宣城,敬亭山,3309705283,山川,4A景区,热度 0.78,安徽省宣城市北郊,,"118.739596,30.991457",1678
江西·赣州·龙南县,南武当旅游景区,1616250696,山川,,热度 0.0,江西省赣州市龙南县武当镇,,"114.720841,24.615032",1646
安徽·六安·金寨县,天堂寨,2307345546,山川,5A景区,热度 1.0,安徽省金寨县天堂寨风景区,,"115.787575,31.136299",1636
黑龙江·哈尔滨·宾县,哈尔滨香炉山,915704709,山川,,热度 0.76,黑龙江省哈尔滨市宾县南端,,"127.53727,45.584141",1612
辽宁·本溪·桓仁县,桓仁枫林谷,3858942580,山川,,热度 0.0,辽宁省本溪市桓仁本溪市桓仁县向阳乡,,"125.237649,41.130914",1610
陕西·宝鸡·眉县,宝鸡太白山,3937906923,山川,5A景区,热度 0.78,陕西省宝鸡市眉县汤峪镇太白山国际旅游度假区龙街陕西信合对面,,"107.821652,34.061746",1606
重庆·重庆·酉阳县,酉阳桃花源,2802914982,山川,5A景区,热度 0.72,重庆市酉阳县土家族苗族自治县桃花源路232号,,"108.770241,28.859621",1582
河南·安阳·林州市,红旗渠,550138182,山川,5A景区,热度 1.0,河南省安阳市林州市任村镇太行路225号,,"113.824362,36.237878",1548
山西·忻州·五台县,五台山,2869401961,山川,5A景区,热度 1.0,山西省忻州市五台县台怀镇,,"113.596375,38.984397",1546
陕西·延安·宝塔区,宝塔山,1635837119,山川,4A景区,热度 0.9400000000000001,陕西省延安市宝塔区嘉岭路,,"109.5032,36.600141",1544
湖北·恩施·建始县,恩施地心谷景区（石门河）,483920244,山川,,热度 0.0,湖北省建始县高坪镇,,"110.069681,30.650961",1522
江苏·南京·玄武区,钟山风景区,3793771320,山川,4A景区,热度 0.76,江苏省南京市玄武区石象路7号,,"118.861055,32.070422",1522
四川·阿坝藏族羌族自治州·黑水县,达古冰山,1710121597,山川,4A景区,热度 0.7,四川省阿坝藏族羌族自治州黑水县芦花镇,,"102.949195,32.122847",1514
四川·阿坝藏族羌族自治州·四姑娘山,长坪沟,453282835,山川,,热度 0.7,四川省阿坝藏族羌族自治州小金县四姑娘山,,"102.856202,31.186151",1512
四川·绵阳·北川新县城,九皇山,2448672587,山川,4A景区,热度 0.76,四川省绵阳市北川羌族自治县桂溪乡金宝石村九皇山景区,,"104.69184,31.92708",1484
陕西·宝鸡·眉县,宝鸡红河谷,3576274919,山川,4A景区,热度 0.72,陕西省宝鸡市眉县营头镇,,"107.755004,34.112416",1450
河南·新乡·辉县市,八里沟,3046830209,山川,4A景区,热度 0.8400000000000001,河南省新乡辉县市上八里镇松树坪村,,"113.538498,35.592382",1440
云南·丽江·玉龙雪山,蓝月谷,1107522450,山川,5A景区,热度 0.0,云南省丽江市玉龙纳西族自治县15公里处玉龙雪山国家级风景名胜区内,,"100.251243,27.131616",1438
山东·青岛·市南区,信号山公园,2804097478,山川,3A景区,热度 0.72,山东省青岛市市南区齐东路17号,,"120.338223,36.072829",1420
湖北·十堰·丹江口市,武当山,1550364917,山川,5A景区,热度 1.0,湖北省十堰市丹江口市武当山景区,,"111.102943,32.511746",1406
四川·阿坝藏族羌族自治州·松潘县,黄龙风景区,3863969464,山川,5A景区,热度 0.74,四川省阿坝藏族羌族自治州松潘县,,"103.839798,32.75533",1406
山西·大同·浑源县,恒山,1944219877,山川,4A景区,热度 0.76,山西省大同市浑源县恒山南路,,"113.733277,39.668683",1406
青海·海北藏族自治州·祁连县,卓尔山,2281523509,山川,,热度 0.0,青海省海北州八宝镇祁连县,,"100.282734,38.189912",1364
山东·烟台·龙口市,龙口南山旅游区,3787024397,山川,5A景区,热度 0.72,山东省烟台龙口市东江镇南山旅游景区,,"120.481974,37.572253",1350
浙江·杭州·临安市,大明山,103139723,山川,4A景区,热度 0.72,浙江省杭州临安市清凉峰镇白果村,,"119.001496,30.062805",1320
广西·桂林·阳朔县,阳朔世外桃源景区,311895735,山川,4A景区,热度 0.7,广西壮族自治区桂林市阳朔县白沙镇五里店桂阳公路,,"110.399611,24.868427",1316
云南·丽江·玉龙县,玉龙雪山,4015347319,山川,5A景区,热度 0.96,云南省丽江市玉龙纳西族自治县,,"100.270093,27.034011",1304
河北·保定·涞水县,野三坡,1492755601,山川,5A景区,热度 1.0,河北省保定市涞水县三坡镇,,"115.391843,39.674643",1292
吉林·延边·安图县,长白山,3945885040,山川,5A景区,热度 1.0,吉林省延边市安图县二道白河镇池北区,,"128.079743,42.025855",1266
四川·阿坝藏族羌族自治州·小金县,四姑娘山,3541432594,山川,4A景区,热度 0.74,四川省阿坝藏族羌族自治州小金县,,"102.852643,31.005369",1226
广西·桂林·秀峰区,独秀峰王城景区,1537503131,山川,5A景区,热度 0.72,广西壮族自治区桂林市秀峰区王城路1号,,"110.305678,25.289462",1220
广东·清远·连州市,湟川三峡,2397938855,山川,4A景区,热度 0.72,广东省清远连州市九陂镇龙潭管理区连江河段,,"112.418323,24.768381",1214
辽宁·本溪·桓仁县,五女山,4194570673,山川,4A景区,热度 0.82,辽宁省本溪市桓仁满族自治县桓仁镇五女山路,,"125.424775,41.332908",1214
广西·崇左·大新县,明仕田园风景区,1075539328,山川,,热度 0.74,广西崇左市大新县堪圩乡明仕村,,"106.921924,22.716235",1202
浙江·台州·仙居,神仙居,3842356383,山川,,热度 0.76,浙江省台州市仙居县白塔镇,,"120.617141,28.711378",1178
浙江·宁波·溪口景区,雪窦山,1102031209,山川,,热度 0.74,浙江省宁波奉化市溪口镇武岭西路39-1号,,"121.290404,29.687924",1174
四川·雅安·名山县,蒙顶山,4125943447,山川,4A景区,热度 0.74,四川省雅安市名山县蒙顶山,,"103.051212,30.078976",1168
山东·泰安·泰山区,泰山,1363641676,山川,5A景区,热度 1.0,山东省泰安市泰山区红门路54号,,"117.12107,36.247343",1158
浙江·宁波·余姚市,浙东小九寨,1071439858,山川,,热度 0.0,浙江省宁波市余姚大隐镇芝林村境域内白岩山下,,"121.312066,29.933256",1138
广西·玉林·北流市,大容山,1922561836,山川,,热度 1.0,广西壮族自治区玉林市北流市,,"110.28956,22.858593",1122
河北·秦皇岛·抚宁县,龙云谷景区,3211373887,山川,,热度 0.0,河北省秦皇岛市抚宁区大新寨镇张各庄村,,"119.325155,40.056637",1120
贵州·遵义·赤水市,赤水丹霞旅游区·佛光岩,273625050,山川,,热度 0.0,贵州省遵义市赤水市元厚镇境内,,"105.975946,28.395717",1060
云南·大理·大理市,鸡足山,2345828724,山川,4A景区,热度 0.7,云南省大理州宾川县以西约30公里处,,"100.400433,25.958131",1048
广西·桂林·七星区,七星景区,2626479041,山川,4A景区,热度 0.76,广西壮族自治区桂林市七星区龙隐路1号,,"110.319121,25.278778",1008
甘肃·平凉·崆峒区,崆峒山,3196135008,山川,5A景区,热度 1.0,甘肃省平凉市崆峒区城西12公里处,,"106.531725,35.562835",996
广东·云浮·新兴县,天露山旅游度假区,506326066,山川,4A景区,热度 0.0,广东省云浮市新兴县,,"112.229517,22.49493",978
山东·淄博·淄川区,潭溪山,879463839,山川,4A景区,热度 0.0,山东省淄博市淄川区太和镇峨庄石沟村东,,"118.205877,36.498761",956
山西·晋中·介休市,绵山,1786655746,山川,5A景区,热度 0.76,山西省晋中市介休城东南20公里处新地村,,"111.955624,36.891096",930
江苏·苏州·吴中区,穹窿山景区,2645027567,山川,5A景区,热度 0.7,江苏省苏州市吴中区穹窿山风景区,,"120.429476,31.26785",920
云南·昆明·西山区,昆明西山龙门景区,1353886282,山川,4A景区,热度 0.74,云南省昆明市西山区西山公路,,"102.640355,24.964658",906
福建·泉州·泉州市,清源山,2853314653,山川,5A景区,热度 0.8400000000000001,福建省泉州市北郊清源山势至岩,,"118.608168,24.949825",906
江西·吉安·安福县,安福武功山,3836409635,山川,4A景区,热度 0.0,江西省吉安市安福县泰山乡文家村,,"114.284206,27.475142",900
山东·日照·五莲县,日照九仙山,1903129917,山川,,热度 0.78,山东省日照市五莲县文化路东首,,"119.354904,35.693257",884
安徽·池州·石台县,石台牯牛降,852074189,山川,4A景区,热度 0.0,安徽省石台县牯牛降景区,,"117.506383,30.139377",874
山东·青岛·即墨市,鹤山,3516340326,山川,3A景区,热度 0.7,山东省青岛即墨鳌山卫镇南4公里,,"120.648456,36.341623",872
辽宁·阜新·阜蒙县,乌兰木图山风景区,1969271312,山川,,热度 0.72,辽宁省阜新市阜新蒙古族自治县八家子乡境内,,"121.468885,42.313022",864
重庆·重庆·南川区,金佛山,3863687047,山川,5A景区,热度 0.72,重庆市南川区金佛山西坡旅游区,,"107.207362,29.104603",856
湖南·郴州·汝城县,飞天山,2124766740,山川,,热度 1.0,湖南省郴州市汝城县桥口镇,,"113.200616,25.939583",852
广东·清远·英德市,英西峰林,2463428735,山川,,热度 0.0,广东省清远英德市英西峰林走廊,,"112.926408,24.195572",850
浙江·衢州·江山市,江郎山,879981049,山川,5A景区,热度 0.8800000000000001,浙江省衢州市江山市石门镇江郎乡,,"118.572658,28.537448",850
